Wake up,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response , 0x3F, 0xFF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response , 0x0F, 0xFF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response , 0x0F, 0xFF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x21, 0xF2, 0x4D, 0x00, 0x08,,Response , 0x00, 0xE9, 0x14, 0xE1, 0xFA, 0xEF, 0x14, 0x4E, 0x59, 0x00, 0xAE, 0x15, 0xB7, 0xF8, 0xC2, 0x15, 0x7B, 0x44
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4D, 0x00, 0x08,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4E, 0x00, 0x1C,,,,Response , 0x00, 0x80, 0x93, 0x35, 0x05, 0x82, 0xF5, 0x7E, 0x37, 0x00, 0x5F, 0x93, 0x46, 0x05, 0x53, 0xF3, 0x57, 0x24
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4E, 0x00, 0x1C,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x50, 0x00, 0x94,,,,Response , 0x00, 0xF3, 0x00, 0x00, 0x00, 0x6D, 0x9F, 0x00, 0xF3, 0x00, 0x00, 0x00, 0x6D, 0x9F,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x50, 0x00, 0x94,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2B, 0xFB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2B, 0xFB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4F, 0x00, 0xF5,,,,Response , 0x00, 0xFF, 0x40, 0xC0, 0x3D, 0x8B, 0xB8, 0x00, 0xFF, 0x40, 0xC0, 0x00, 0x98, 0xC5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4F, 0x00, 0xF5,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x47, 0x00, 0x70,,,,Response , 0x00, 0x8E, 0x9F, 0xF0, 0x9F, 0x00, 0xA0, 0x91, 0xD9, 0x00, 0xFF, 0x9F, 0x01, 0xA0, 0xF7, 0x9F, 0x8D, 0x03
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x48, 0x00, 0x34,,,,Response , 0x00, 0x1F, 0xA0, 0xF7, 0x9F, 0x1D, 0xA0, 0xA3, 0x40, 0x00, 0xED, 0x9F, 0xCE, 0x9F, 0xFD, 0x9F, 0x9F, 0x6E
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x49, 0x00, 0xDD,,,,Response , 0x00, 0x01, 0xA0, 0x12, 0xA0, 0xA7, 0x9F, 0xA6, 0x9F, 0x00, 0xF1, 0x9F, 0xE7, 0x9F, 0xD7, 0x9F, 0xA1, 0x45
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4A, 0x00, 0xC9,,,,Response , 0x00, 0x23, 0xA0, 0x1E, 0xA0, 0xA5, 0xA0, 0xBF, 0xB6, 0x00, 0x63, 0x9F, 0xFD, 0x9F, 0x10, 0xA0, 0xA8, 0xC7
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4B, 0x00, 0x20,,,,Response , 0x00, 0x81, 0x9F, 0x00, 0x00, 0x02, 0x00, 0x80, 0x1A, 0x00, 0x00, 0x00, 0x00, 0x00, 0x02, 0x00, 0x9D, 0x44
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4C, 0x00, 0xE1,,,,Response , 0x00, 0x02, 0x00, 0xC3, 0x81, 0xB8, 0x3A, 0x00, 0x02, 0x00, 0xC4, 0x77, 0xA9, 0x84,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x21, 0xF2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x21, 0xF2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
, 0x4D, 0x01, 0x27,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
, 0x4D, 0x01, 0x27,,,,Response , 0x01, 0xEB, 0x14, 0x34, 0xF7, 0xF1, 0x14, 0x1D, 0x1F, 0x01, 0xC8, 0x14, 0x6F, 0xF0, 0xDC, 0x14, 0x03, 0xDC
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
, 0x4E, 0x01, 0x33,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
, 0x4E, 0x01, 0x33,,,,Response , 0x01, 0x7A, 0x93, 0x37, 0x05, 0x8C, 0xF5, 0x0A, 0x71, 0x01, 0x84, 0x93, 0x3C, 0x05, 0xCB, 0xF2, 0x2D, 0x48
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
, 0x4F, 0x01, 0xDA,,,,Response , 0x01, 0xFF, 0x40, 0xC0, 0x5B, 0x17, 0x9A, 0x01, 0xFF, 0x40, 0xC0, 0x1E, 0x30, 0xC5,,,,
